fips,fold,quantile,coverage,error
13101,2,0.9,0.8333333333333334,0.06666666666666665
13101,3,0.1,0.16666666666666666,0.06666666666666665
13101,3,0.2,0.4444444444444444,0.2444444444444444
13101,3,0.3,0.5555555555555556,0.2555555555555556
13101,3,0.4,0.5555555555555556,0.15555555555555556
13101,3,0.5,0.6666666666666666,0.16666666666666663
13101,3,0.6,0.7777777777777778,0.1777777777777778
13101,3,0.7,0.8333333333333334,0.13333333333333341
13101,3,0.8,0.9444444444444444,0.14444444444444438
13101,3,0.9,1.0,0.09999999999999998
13101,4,0.1,0.05555555555555555,0.04444444444444445
13101,4,0.2,0.05555555555555555,0.14444444444444446
13101,4,0.3,0.1111111111111111,0.18888888888888888
13101,4,0.4,0.3888888888888889,0.011111111111111127
13101,4,0.5,0.5,0.0
13101,4,0.6,0.6666666666666666,0.06666666666666665
13101,4,0.7,0.7777777777777778,0.07777777777777783
13101,4,0.8,0.8333333333333334,0.033333333333333326
13101,4,0.9,0.8888888888888888,0.011111111111111183
13101,0,0.1,0.10526315789473684,0.005263157894736831
13101,0,0.2,0.10526315789473684,0.09473684210526317
13101,0,0.3,0.2631578947368421,0.0368421052631579
13101,0,0.4,0.2631578947368421,0.13684210526315793
13101,0,0.5,0.3157894736842105,0.1842105263157895
13101,0,0.6,0.42105263157894735,0.17894736842105263
13101,0,0.7,0.6842105263157895,0.015789473684210464
13101,0,0.8,0.7368421052631579,0.06315789473684219
13101,0,0.9,0.9473684210526315,0.047368421052631504
13101,1,0.1,0.0,0.1
13101,1,0.2,0.05263157894736842,0.1473684210526316
13101,1,0.3,0.2631578947368421,0.0368421052631579
13101,1,0.4,0.42105263157894735,0.021052631578947323
13101,1,0.5,0.5789473684210527,0.07894736842105265
13101,1,0.6,0.5789473684210527,0.021052631578947323
13101,1,0.7,0.631578947368421,0.06842105263157894
13101,1,0.8,0.7368421052631579,0.06315789473684219
13101,1,0.9,0.8421052631578947,0.05789473684210533
13101,2,0.1,0.0,0.1
13101,2,0.2,0.05555555555555555,0.14444444444444446
13101,2,0.3,0.16666666666666666,0.13333333333333333
13101,2,0.4,0.2777777777777778,0.12222222222222223
13101,2,0.5,0.2777777777777778,0.2222222222222222
13101,2,0.6,0.3333333333333333,0.26666666666666666
13101,2,0.7,0.5,0.19999999999999996
13101,2,0.8,0.6111111111111112,0.18888888888888888
13101,2,0.9,0.8888888888888888,0.011111111111111183
13101,3,0.1,0.05555555555555555,0.04444444444444445
13101,3,0.2,0.3333333333333333,0.1333333333333333
13101,3,0.3,0.5,0.2
13101,3,0.4,0.5555555555555556,0.15555555555555556
13101,3,0.5,0.7222222222222222,0.2222222222222222
13101,3,0.6,0.7777777777777778,0.1777777777777778
13101,3,0.7,0.7777777777777778,0.07777777777777783
13101,3,0.8,1.0,0.19999999999999996
13101,3,0.9,1.0,0.09999999999999998
13101,4,0.1,0.1111111111111111,0.0111111111111111
13101,4,0.2,0.3333333333333333,0.1333333333333333
13101,4,0.3,0.3888888888888889,0.0888888888888889
13101,4,0.4,0.5555555555555556,0.15555555555555556
13101,4,0.5,0.6666666666666666,0.16666666666666663
13101,4,0.6,0.7777777777777778,0.1777777777777778
13101,4,0.7,0.7777777777777778,0.07777777777777783
13101,4,0.8,0.8333333333333334,0.033333333333333326
13101,4,0.9,0.9444444444444444,0.0444444444444444
13101,0,0.1,0.2631578947368421,0.16315789473684209
13101,0,0.2,0.3684210526315789,0.16842105263157892
13101,0,0.3,0.42105263157894735,0.12105263157894736
13101,0,0.4,0.42105263157894735,0.021052631578947323
13101,0,0.5,0.47368421052631576,0.026315789473684237
13101,0,0.6,0.5263157894736842,0.0736842105263158
13101,0,0.7,0.631578947368421,0.06842105263157894
13101,0,0.8,0.7368421052631579,0.06315789473684219
13101,0,0.9,0.7894736842105263,0.1105263157894737
13101,1,0.1,0.0,0.1
13101,1,0.2,0.10526315789473684,0.09473684210526317
13101,1,0.3,0.15789473684210525,0.14210526315789473
13101,1,0.4,0.3684210526315789,0.031578947368421095
13101,1,0.5,0.5789473684210527,0.07894736842105265
13101,1,0.6,0.5789473684210527,0.021052631578947323
13101,1,0.7,0.6842105263157895,0.015789473684210464
13101,1,0.8,0.8947368421052632,0.09473684210526312
13101,1,0.9,1.0,0.09999999999999998
13101,2,0.1,0.16666666666666666,0.06666666666666665
13101,2,0.2,0.3888888888888889,0.18888888888888888
13101,2,0.3,0.5,0.2
13101,2,0.4,0.5555555555555556,0.15555555555555556
13101,2,0.5,0.5555555555555556,0.05555555555555558
13101,2,0.6,0.5555555555555556,0.0444444444444444
13101,2,0.7,0.6111111111111112,0.0888888888888888
13101,2,0.8,0.7222222222222222,0.07777777777777783
13101,2,0.9,0.7777777777777778,0.12222222222222223
13101,3,0.1,0.05555555555555555,0.04444444444444445
13101,3,0.2,0.16666666666666666,0.033333333333333354
13101,3,0.3,0.2222222222222222,0.07777777777777778
13101,3,0.4,0.2777777777777778,0.12222222222222223
13101,3,0.5,0.3333333333333333,0.16666666666666669
13101,3,0.6,0.5555555555555556,0.0444444444444444
13101,3,0.7,0.7222222222222222,0.022222222222222254
13101,3,0.8,0.8888888888888888,0.0888888888888888
13101,3,0.9,0.9444444444444444,0.0444444444444444
13101,4,0.1,0.1111111111111111,0.0111111111111111
13101,4,0.2,0.2222222222222222,0.0222222222222222
13101,4,0.3,0.2777777777777778,0.0222222222222222
13101,4,0.4,0.3888888888888889,0.011111111111111127
13101,4,0.5,0.6666666666666666,0.16666666666666663
13101,4,0.6,0.6666666666666666,0.06666666666666665
13101,4,0.7,0.7222222222222222,0.022222222222222254
13101,4,0.8,0.8888888888888888,0.0888888888888888
13101,4,0.9,0.8888888888888888,0.011111111111111183
13101,0,0.1,0.15789473684210525,0.05789473684210525
13101,0,0.2,0.21052631578947367,0.010526315789473661
13101,0,0.3,0.21052631578947367,0.08947368421052632
13101,0,0.4,0.3684210526315789,0.031578947368421095
13101,0,0.5,0.42105263157894735,0.07894736842105265
13101,0,0.6,0.42105263157894735,0.17894736842105263
13101,0,0.7,0.5263157894736842,0.17368421052631577
13101,0,0.8,0.5789473684210527,0.2210526315789474
13101,0,0.9,0.7894736842105263,0.1105263157894737
13101,1,0.1,0.10526315789473684,0.005263157894736831
13101,1,0.2,0.2631578947368421,0.06315789473684208
13101,1,0.3,0.42105263157894735,0.12105263157894736
13101,1,0.4,0.5789473684210527,0.17894736842105263
13101,1,0.5,0.5789473684210527,0.07894736842105265
13101,1,0.6,0.631578947368421,0.03157894736842104
13101,1,0.7,0.7368421052631579,0.0368421052631579
13101,1,0.8,0.7894736842105263,0.010526315789473717
13101,1,0.9,0.7894736842105263,0.1105263157894737
13101,2,0.1,0.0,0.1
13101,2,0.2,0.16666666666666666,0.033333333333333354
13101,2,0.3,0.2222222222222222,0.07777777777777778
13101,2,0.4,0.4444444444444444,0.0444444444444444
13101,2,0.5,0.5555555555555556,0.05555555555555558
13101,2,0.6,0.6111111111111112,0.011111111111111183
13101,2,0.7,0.7222222222222222,0.022222222222222254
13101,2,0.8,0.8333333333333334,0.033333333333333326
13101,2,0.9,0.9444444444444444,0.0444444444444444
13101,3,0.1,0.0,0.1
13101,3,0.2,0.2222222222222222,0.0222222222222222
13101,3,0.3,0.2777777777777778,0.0222222222222222
13101,3,0.4,0.3333333333333333,0.06666666666666671
13101,3,0.5,0.5,0.0
13101,3,0.6,0.6111111111111112,0.011111111111111183
13101,3,0.7,0.8333333333333334,0.13333333333333341
13101,3,0.8,0.9444444444444444,0.14444444444444438
13101,3,0.9,0.9444444444444444,0.0444444444444444
13101,4,0.1,0.1111111111111111,0.0111111111111111
13101,4,0.2,0.2777777777777778,0.07777777777777778
13101,4,0.3,0.3333333333333333,0.033333333333333326
13101,4,0.4,0.3333333333333333,0.06666666666666671
13101,4,0.5,0.3888888888888889,0.1111111111111111
13101,4,0.6,0.5,0.09999999999999998
13101,4,0.7,0.5555555555555556,0.14444444444444438
13101,4,0.8,0.7222222222222222,0.07777777777777783
13101,4,0.9,0.9444444444444444,0.0444444444444444
13101,0,0.1,0.05263157894736842,0.04736842105263159
13101,0,0.2,0.21052631578947367,0.010526315789473661
13101,0,0.3,0.3157894736842105,0.01578947368421052
13101,0,0.4,0.3684210526315789,0.031578947368421095
13101,0,0.5,0.42105263157894735,0.07894736842105265
13101,0,0.6,0.631578947368421,0.03157894736842104
13101,0,0.7,0.631578947368421,0.06842105263157894
13101,0,0.8,0.7368421052631579,0.06315789473684219
13101,0,0.9,0.8947368421052632,0.0052631578947368585
13101,1,0.1,0.05263157894736842,0.04736842105263159
13101,1,0.2,0.15789473684210525,0.04210526315789476
13101,1,0.3,0.2631578947368421,0.0368421052631579
13101,1,0.4,0.3157894736842105,0.08421052631578951
13101,1,0.5,0.42105263157894735,0.07894736842105265
13101,1,0.6,0.5263157894736842,0.0736842105263158
13101,1,0.7,0.7368421052631579,0.0368421052631579
13101,1,0.8,0.8947368421052632,0.09473684210526312
13101,1,0.9,0.9473684210526315,0.047368421052631504
13101,2,0.1,0.1111111111111111,0.0111111111111111
13101,2,0.2,0.2222222222222222,0.0222222222222222
13101,2,0.3,0.2222222222222222,0.07777777777777778
13101,2,0.4,0.2777777777777778,0.12222222222222223
13101,2,0.5,0.3333333333333333,0.16666666666666669
13101,2,0.6,0.4444444444444444,0.15555555555555556
13101,2,0.7,0.7222222222222222,0.022222222222222254
13101,2,0.8,0.7777777777777778,0.022222222222222254
13101,2,0.9,0.9444444444444444,0.0444444444444444
13101,3,0.1,0.16666666666666666,0.06666666666666665
13101,3,0.2,0.2222222222222222,0.0222222222222222
13101,3,0.3,0.3333333333333333,0.033333333333333326
13101,3,0.4,0.6111111111111112,0.21111111111111114
13101,3,0.5,0.6666666666666666,0.16666666666666663
13101,3,0.6,0.6666666666666666,0.06666666666666665
13101,3,0.7,0.7222222222222222,0.022222222222222254
13101,3,0.8,0.7222222222222222,0.07777777777777783
13101,3,0.9,0.8333333333333334,0.06666666666666665
13101,4,0.1,0.2222222222222222,0.1222222222222222
13101,4,0.2,0.3888888888888889,0.18888888888888888
13101,4,0.3,0.4444444444444444,0.14444444444444443
13101,4,0.4,0.4444444444444444,0.0444444444444444
13101,4,0.5,0.5,0.0
13101,4,0.6,0.5555555555555556,0.0444444444444444
13101,4,0.7,0.6111111111111112,0.0888888888888888
13101,4,0.8,0.7222222222222222,0.07777777777777783
13101,4,0.9,0.8333333333333334,0.06666666666666665
13101,0,0.1,0.05263157894736842,0.04736842105263159
13101,0,0.2,0.10526315789473684,0.09473684210526317
13101,0,0.3,0.3684210526315789,0.06842105263157894
13101,0,0.4,0.3684210526315789,0.031578947368421095
13101,0,0.5,0.5789473684210527,0.07894736842105265
13101,0,0.6,0.631578947368421,0.03157894736842104
13101,0,0.7,0.6842105263157895,0.015789473684210464
13101,0,0.8,0.7894736842105263,0.010526315789473717
13101,0,0.9,0.8421052631578947,0.05789473684210533
13101,1,0.1,0.15789473684210525,0.05789473684210525
13101,1,0.2,0.21052631578947367,0.010526315789473661
13101,1,0.3,0.42105263157894735,0.12105263157894736
13101,1,0.4,0.5263157894736842,0.12631578947368416
13101,1,0.5,0.631578947368421,0.13157894736842102
13101,1,0.6,0.7368421052631579,0.13684210526315788
13101,1,0.7,0.8421052631578947,0.14210526315789473
13101,1,0.8,0.8421052631578947,0.042105263157894646
13101,1,0.9,0.8947368421052632,0.0052631578947368585
13101,2,0.1,0.1111111111111111,0.0111111111111111
13101,2,0.2,0.2222222222222222,0.0222222222222222
13101,2,0.3,0.2222222222222222,0.07777777777777778
13101,2,0.4,0.3333333333333333,0.06666666666666671
13101,2,0.5,0.3888888888888889,0.1111111111111111
13101,2,0.6,0.3888888888888889,0.21111111111111108
13101,2,0.7,0.5555555555555556,0.14444444444444438
13101,2,0.8,0.7777777777777778,0.022222222222222254
13101,2,0.9,0.9444444444444444,0.0444444444444444
13101,3,0.1,0.0,0.1
13101,3,0.2,0.16666666666666666,0.033333333333333354
13101,3,0.3,0.2777777777777778,0.0222222222222222
13101,3,0.4,0.2777777777777778,0.12222222222222223
13101,3,0.5,0.3888888888888889,0.1111111111111111
13101,3,0.6,0.5555555555555556,0.0444444444444444
13101,3,0.7,0.6111111111111112,0.0888888888888888
13101,3,0.8,0.8333333333333334,0.033333333333333326
13101,3,0.9,1.0,0.09999999999999998
13101,4,0.1,0.05555555555555555,0.04444444444444445
13101,4,0.2,0.2777777777777778,0.07777777777777778
13101,4,0.3,0.2777777777777778,0.0222222222222222
13101,4,0.4,0.3333333333333333,0.06666666666666671
13101,4,0.5,0.3888888888888889,0.1111111111111111
13101,4,0.6,0.3888888888888889,0.21111111111111108
13101,4,0.7,0.5,0.19999999999999996
13101,4,0.8,0.7222222222222222,0.07777777777777783
13101,4,0.9,0.8888888888888888,0.011111111111111183
13101,0,0.1,0.15789473684210525,0.05789473684210525
13101,0,0.2,0.2631578947368421,0.06315789473684208
13101,0,0.3,0.2631578947368421,0.0368421052631579
13101,0,0.4,0.47368421052631576,0.07368421052631574
13101,0,0.5,0.5263157894736842,0.02631578947368418
13101,0,0.6,0.6842105263157895,0.08421052631578951
13101,0,0.7,0.7368421052631579,0.0368421052631579
13101,0,0.8,0.8421052631578947,0.042105263157894646
13101,0,0.9,0.9473684210526315,0.047368421052631504
13101,1,0.1,0.0,0.1
13101,1,0.2,0.15789473684210525,0.04210526315789476
13101,1,0.3,0.2631578947368421,0.0368421052631579
13101,1,0.4,0.3684210526315789,0.031578947368421095
13101,1,0.5,0.3684210526315789,0.13157894736842107
13101,1,0.6,0.5263157894736842,0.0736842105263158
13101,1,0.7,0.631578947368421,0.06842105263157894
13101,1,0.8,0.7894736842105263,0.010526315789473717
13101,1,0.9,0.8947368421052632,0.0052631578947368585
13101,2,0.1,0.05555555555555555,0.04444444444444445
13101,2,0.2,0.2222222222222222,0.0222222222222222
13101,2,0.3,0.2777777777777778,0.0222222222222222
13101,2,0.4,0.3888888888888889,0.011111111111111127
13101,2,0.5,0.5,0.0
13101,2,0.6,0.5555555555555556,0.0444444444444444
13101,2,0.7,0.6666666666666666,0.033333333333333326
13101,2,0.8,0.8888888888888888,0.0888888888888888
13101,2,0.9,1.0,0.09999999999999998
13101,3,0.1,0.1111111111111111,0.0111111111111111
13101,3,0.2,0.2222222222222222,0.0222222222222222
13101,3,0.3,0.4444444444444444,0.14444444444444443
13101,3,0.4,0.4444444444444444,0.0444444444444444
13101,3,0.5,0.4444444444444444,0.05555555555555558
13101,3,0.6,0.5555555555555556,0.0444444444444444
13101,3,0.7,0.6111111111111112,0.0888888888888888
13101,3,0.8,0.7222222222222222,0.07777777777777783
13101,3,0.9,0.7777777777777778,0.12222222222222223
13101,4,0.1,0.16666666666666666,0.06666666666666665
13101,4,0.2,0.2777777777777778,0.07777777777777778
13101,4,0.3,0.3888888888888889,0.0888888888888889
13101,4,0.4,0.4444444444444444,0.0444444444444444
13101,4,0.5,0.6111111111111112,0.11111111111111116
13101,4,0.6,0.7222222222222222,0.12222222222222223
13101,4,0.7,0.7777777777777778,0.07777777777777783
13101,4,0.8,0.8333333333333334,0.033333333333333326
13101,4,0.9,0.8888888888888888,0.011111111111111183
13101,0,0.1,0.15789473684210525,0.05789473684210525
13101,0,0.2,0.3157894736842105,0.1157894736842105
13101,0,0.3,0.5789473684210527,0.27894736842105267
13101,0,0.4,0.631578947368421,0.231578947368421
13101,0,0.5,0.7894736842105263,0.2894736842105263
13101,0,0.6,0.8947368421052632,0.2947368421052632
13101,0,0.7,0.8947368421052632,0.1947368421052632
13101,0,0.8,0.9473684210526315,0.14736842105263148
13101,0,0.9,1.0,0.09999999999999998
13101,1,0.1,0.10526315789473684,0.005263157894736831
13101,1,0.2,0.21052631578947367,0.010526315789473661
13101,1,0.3,0.2631578947368421,0.0368421052631579
13101,1,0.4,0.3157894736842105,0.08421052631578951
13101,1,0.5,0.47368421052631576,0.026315789473684237
13101,1,0.6,0.47368421052631576,0.12631578947368421
13101,1,0.7,0.5263157894736842,0.17368421052631577
13101,1,0.8,0.7368421052631579,0.06315789473684219
13101,1,0.9,0.8421052631578947,0.05789473684210533
13101,2,0.1,0.05555555555555555,0.04444444444444445
13101,2,0.2,0.05555555555555555,0.14444444444444446
13101,2,0.3,0.16666666666666666,0.13333333333333333
13101,2,0.4,0.3333333333333333,0.06666666666666671
13101,2,0.5,0.3888888888888889,0.1111111111111111
13101,2,0.6,0.5,0.09999999999999998
13101,2,0.7,0.5555555555555556,0.14444444444444438
13101,2,0.8,0.7777777777777778,0.022222222222222254
13101,2,0.9,0.8333333333333334,0.06666666666666665
13101,3,0.1,0.1111111111111111,0.0111111111111111
13101,3,0.2,0.2222222222222222,0.0222222222222222
13101,3,0.3,0.3333333333333333,0.033333333333333326
13101,3,0.4,0.3888888888888889,0.011111111111111127
13101,3,0.5,0.4444444444444444,0.05555555555555558
13101,3,0.6,0.6111111111111112,0.011111111111111183
13101,3,0.7,0.6666666666666666,0.033333333333333326
13101,3,0.8,0.7222222222222222,0.07777777777777783
13101,3,0.9,0.9444444444444444,0.0444444444444444
13101,4,0.1,0.1111111111111111,0.0111111111111111
13101,4,0.2,0.16666666666666666,0.033333333333333354
13101,4,0.3,0.3333333333333333,0.033333333333333326
13101,4,0.4,0.4444444444444444,0.0444444444444444
13101,4,0.5,0.5,0.0
13101,4,0.6,0.6111111111111112,0.011111111111111183
13101,4,0.7,0.6666666666666666,0.033333333333333326
13101,4,0.8,0.8888888888888888,0.0888888888888888
13101,4,0.9,1.0,0.09999999999999998
